,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
334,9.504318665240353e-11,4.410075340908598e-10,True,True
336,1.7241555074671653e-10,7.738318106390045e-10,True,True
337,3.514402109578059e-11,1.7077720518413776e-10,True,True
338,0.002415918735391383,0.004093672992043761,True,True
339,0.007549168808274691,0.011845194506770268,True,True
340,1.1777759313009068e-05,2.7990203897679412e-05,True,True
341,0.0002961802507171891,0.0005748891945100495,True,True
342,1.1169216624726166e-21,2.2026052190884076e-20,True,True
343,1.9993654795163035e-06,5.295774096694901e-06,True,True
344,7.828501254438918e-09,2.8555185635648715e-08,True,True
345,0.02700644883695969,0.038779833843067484,True,True
347,3.27716222552367e-41,4.71774812049345e-38,True,True
348,2.9747875640402596e-05,6.678291769823975e-05,True,True
349,8.344710147119918e-06,2.0269244627600757e-05,True,True
353,0.00017413878909343055,0.00034995900204618576,True,True
354,0.0005747924016941682,0.001069186899888743,True,True
356,0.0005640989239268178,0.0010509931957329356,True,True
357,0.010236811721013086,0.015734578030118435,True,True
358,3.024693065613928e-07,8.936475578669507e-07,True,True
359,0.020198451526977784,0.029607827758043378,True,True
360,8.359318339724853e-06,2.0296166453794355e-05,True,True
361,0.003203680016164634,0.005320474166433767,True,True
363,4.826780934017523e-06,1.2143958057018036e-05,True,True
364,2.81296858877514e-07,8.354493063896322e-07,True,True
365,0.0023650420337380357,0.004014939493058929,True,True
367,2.6240818389249415e-16,2.492084319264891e-15,True,True
370,1.4896248137176402e-05,3.486420357264901e-05,True,True
371,2.7593556782502298e-06,7.1681006528981525e-06,True,True
372,1.117933820150974e-08,3.982740099630455e-08,True,True
373,4.50659341858832e-06,1.1381783816683222e-05,True,True
374,0.010943199972163878,0.016732499514881483,True,True
376,1.9282266004133945e-09,7.592914183300978e-09,True,True
377,0.010440430319446912,0.016036137082639405,True,True
378,5.961534529743009e-35,1.5843924461740075e-32,True,True
379,2.835621727261078e-06,7.3529518670722194e-06,True,True
381,1.632391099580182e-13,1.0726464777756062e-12,True,True
382,0.024177661565842744,0.034986522327855034,True,True
385,2.228360680643544e-06,5.8636604353567745e-06,True,True
386,1.1556690956375976e-33,2.193866332652692e-31,True,True
388,1.075587559107643e-07,3.372191485224053e-07,True,True
