,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
0,3.6071401066563956e-09,1.3731455562470083e-08,True,True
1,0.313829482510041,0.36343797749956147,False,False
2,8.164043644485789e-05,0.00017180393952794738,True,True
3,6.3746517799747675e-15,5.016952596768297e-14,True,True
4,0.04726589843891226,0.06500942639587654,True,False
5,0.060316150492081104,0.08152425473364378,False,False
6,5.3442886577203215e-06,1.3339486571610831e-05,True,True
7,7.857877107856742e-06,1.9170290501090978e-05,True,True
8,1.5007152753534474e-09,6.0011241624376855e-09,True,True
9,9.742753347580845e-05,0.00020294955273056687,True,True
10,0.04671578879072979,0.064298880675632,True,False
11,6.382057732213531e-11,3.014767495870625e-10,True,True
12,0.02398039841739113,0.03470979326857409,True,True
13,5.024134511809233e-13,3.097499061081531e-12,True,True
14,1.7233551280507414e-09,6.834471955251735e-09,True,True
15,0.6096108831192086,0.654385633870896,False,False
16,0.009115074132559409,0.01414737002460747,True,True
17,3.156672288692492e-16,2.957240443989306e-15,True,True
18,0.0003716169034954104,0.000711400931724647,True,True
19,0.6618238617557821,0.703050498821248,False,False
20,0.0002779600603376105,0.0005414891766074222,True,True
21,0.35764236729681353,0.4085077952295989,False,False
22,0.2146744760479479,0.258683258687972,False,False
23,5.504189276736617e-23,1.3261488110965837e-21,True,True
24,2.225416254484484e-16,2.136968637922149e-15,True,True
25,9.875245155160638e-12,5.1275882192786304e-11,True,True
26,3.260870772945752e-08,1.0950921967853395e-07,True,True
27,0.6025969151731205,0.6477420017183534,False,False
28,0.013851285748684753,0.02081790162767784,True,True
29,0.2428096710632932,0.28887996333459987,False,False
30,9.946354758768736e-09,3.575926710878874e-08,True,True
31,8.963318926336966e-20,1.3406176143071091e-18,True,True
32,6.061127467375059e-26,2.256594331872934e-24,True,True
33,1.4405242881437648e-07,4.4437601924434886e-07,True,True
34,0.03342189388011638,0.04722807499214809,True,True
35,0.030715930978081892,0.0436470928392173,True,True
36,0.02531490603637731,0.03650960497390693,True,True
37,0.000452701822207063,0.0008553455078887689,True,True
38,4.480945087723539e-13,2.7804204064990727e-12,True,True
39,0.19662570943273502,0.23907018091571633,False,False
40,0.0533700825629332,0.07283104323206185,False,False
41,1.9594310132533477e-05,4.514426614290688e-05,True,True
42,1.4635923163567522e-10,6.623934310993684e-10,True,True
43,1.7550742489759902e-22,3.88206243931629e-21,True,True
44,0.8345922170491332,0.8583936978759096,False,False
45,2.113076071433849e-12,1.1925314973544508e-11,True,True
46,4.0903059834986345e-23,9.966154564871497e-22,True,True
47,5.200749073208097e-13,3.1983958789487315e-12,True,True
48,0.002233465317978296,0.0038095491082222616,True,True
49,0.0005683358010918705,0.0010582023026365663,True,True
50,1.258795161917973e-07,3.9103913724389465e-07,True,True
51,0.05641595595959242,0.07664849698796375,False,False
52,2.697083793898014e-16,2.5515948816861003e-15,True,True
53,2.5124421288907823e-07,7.506358814585986e-07,True,True
54,0.0036207231007318245,0.005963767311703116,True,True
55,4.404377026554818e-09,1.6590844555982225e-08,True,True
56,1.5632351898449915e-08,5.4710064636491545e-08,True,True
57,1.3921474535478564e-33,2.531510237898865e-31,True,True
58,3.805367747641189e-08,1.2661349738155152e-07,True,True
59,1.5501205105956897e-28,9.395905901944049e-27,True,True
60,0.1049928396799117,0.13564814190939156,False,False
61,2.700653530016626e-06,7.025115152994611e-06,True,True
62,0.00029392223990907786,0.0005708912406599191,True,True
63,5.207132128207251e-09,1.942414327678261e-08,True,True
64,5.529101345335489e-05,0.00011939403217583822,True,True
65,0.16135251902695447,0.1997538172703625,False,False
66,0.1997318685530393,0.24243732639500798,False,False
67,0.005701110860593225,0.009103123219960065,True,True
68,2.150720155608192e-06,5.677519970680244e-06,True,True
69,9.247420471987709e-15,7.118947800962017e-14,True,True
70,2.4333076094341246e-14,1.785700465292035e-13,True,True
71,8.018158103491456e-15,6.233739029604631e-14,True,True
72,0.2672009440145689,0.314841846248665,False,False
73,1.691204704518581e-22,3.7552135309201145e-21,True,True
74,0.004145430876988279,0.006768650132322544,True,True
75,0.20882764347776614,0.25244909314754443,False,False
76,0.003071217298851144,0.005115240921486069,True,True
77,2.4831366765558513e-28,1.4346550530937233e-26,True,True
78,0.6320538937198272,0.6754968457071279,False,False
79,0.00027838182848099796,0.0005421697956041983,True,True
80,0.00023039391558313124,0.0004549154065262993,True,True
81,0.07265927749923218,0.09673158282978081,False,False
82,7.423684184928866e-05,0.0001572583007904919,True,True
83,0.5609830021397648,0.6085388610338736,False,False
84,1.4372051176157209e-24,4.288034267152259e-23,True,True
85,9.25609504871137e-16,8.141499081796787e-15,True,True
86,9.763656820684153e-12,5.072696889543421e-11,True,True
87,5.542715457373304e-06,1.3812811530023634e-05,True,True
88,1.5829595055001874e-13,1.0433279457274223e-12,True,True
89,1.5530863105531625e-12,8.92533799561074e-12,True,True
90,0.00523050279583562,0.008399826698713427,True,True
91,0.0003503535164804422,0.0006731572680680279,True,True
92,0.05996228803766482,0.08109672949586313,False,False
93,1.0172006578547367e-11,5.275335143932926e-11,True,True
94,0.002885488098170372,0.0048235733400322405,True,True
95,0.970009007417161,0.9744086528540709,False,False
96,0.1481449420274273,0.18523479107728769,False,False
97,0.0002529068991431808,0.0004961834333988362,True,True
98,3.3227408081404e-08,1.1147863169668946e-07,True,True
99,0.006365244927830485,0.0101065814456132,True,True
100,0.010551238007982362,0.016181874697078772,True,True
101,0.9763721608299205,0.9796044301508234,False,False
102,0.3713831731608521,0.42269944097477713,False,False
103,0.6599066898270316,0.7012295052446312,False,False
104,6.983400079735749e-18,8.16778851573697e-17,True,True
105,0.5210324452428601,0.5701783537039407,False,False
106,8.713231938469674e-18,1.0061569634830456e-16,True,True
107,0.0033321888631299536,0.005520625550069047,True,True
108,3.438700693028924e-08,1.1521247958121542e-07,True,True
109,4.488775186411297e-07,1.2962820351931654e-06,True,True
110,0.0026469382527813754,0.0044628009288305934,True,True
111,4.0831342338462215e-13,2.5473508085840907e-12,True,True
112,0.0001410411725509155,0.00028708451229139453,True,True
113,0.0018888020483024456,0.003254768616900224,True,True
114,4.183206946714223e-05,9.174165291924363e-05,True,True
115,0.014423041458314799,0.021618918975478362,True,True
116,2.696571754861484e-25,9.024979949564916e-24,True,True
117,2.3423116924262498e-08,8.014148244536237e-08,True,True
118,1.0240982682846186e-05,2.453376450508499e-05,True,True
119,0.0029174674866126685,0.004873259604644542,True,True
120,0.0008293017688666567,0.001507226518376801,True,True
121,0.9888797182189659,0.9906574537365249,False,False
122,5.174695755884017e-30,4.121955753510291e-28,True,True
123,2.589155686291306e-25,8.701880249159984e-24,True,True
124,0.00045113758358291615,0.000852576496706583,True,True
125,3.102487162335534e-11,1.519145854006416e-10,True,True
126,6.190958741836236e-18,7.290307584541306e-17,True,True
127,0.3832272322940993,0.43434263468577383,False,False
128,0.9936706133029634,0.9946494289493969,False,False
129,4.0848355081445585e-15,3.274502710125163e-14,True,True
130,1.2395704618099318e-05,2.934573074930324e-05,True,True
131,0.6138370471613812,0.6583903507831157,False,False
132,0.06989746420841035,0.0933713806217359,False,False
133,6.8089770144407e-32,8.712968735145414e-30,True,True
134,9.507563561226555e-11,4.4103963619814375e-10,True,True
135,1.8151139111493647e-07,5.523356141466493e-07,True,True
136,1.1468112956334361e-07,3.578606418364814e-07,True,True
137,0.6794817017576753,0.7191108495903842,False,False
138,1.875344579665394e-05,4.332251619914373e-05,True,True
139,0.20596715531544232,0.24934005662748887,False,False
140,2.3291981658368658e-07,6.986785607715203e-07,True,True
141,3.4699522545195765e-21,6.41792560993851e-20,True,True
142,2.913101859335017e-11,1.4292483561491742e-10,True,True
143,0.000740791942988418,0.0013550593832194959,True,True
144,0.0003480616015259343,0.0006690513148281424,True,True
145,0.16771517645168657,0.20702248468759452,False,False
146,0.03413146320944477,0.04814018835264194,True,True
147,7.166768871097951e-19,9.545561468636632e-18,True,True
148,0.417113783741479,0.46832449071454896,False,False
149,0.7083651926737518,0.7453864106376964,False,False
150,9.296801397873285e-05,0.00019417512289718415,True,True
151,4.2883347903164655e-09,1.6178419633701015e-08,True,True
152,0.16435214594106826,0.20319067638531124,False,False
153,0.26887490783697554,0.316512029498041,False,False
154,2.404916013686405e-10,1.060902046384899e-09,True,True
155,7.169389654366798e-13,4.31236790665691e-12,True,True
156,1.2503106059906648e-22,2.8405834164979274e-21,True,True
